initial,code,name,population
RO,11,Rondônia,1777225
AC,12,Acre,881935
AM,13,Amazonas,4144597
RR,14,Roraima,605761
PA,15,Pará,8602865
AP,16,Amapá,845731
TO,17,Tocantins,1572866
MA,21,Maranhão,7075181
PI,22,Piauí,3273227
CE,23,Ceará,9132078
RN,24,Rio Grande do Norte,3506853
PB,25,Paraíba,4018127
PE,26,Pernambuco,9557071
AL,27,Alagoas,3337357
SE,28,Sergipe,2298696
BA,29,Bahia,14873064
MG,31,Minas Gerais,21168791
ES,32,Espírito Santo,4018650
RJ,33,Rio de Janeiro,17264943
SP,35,São Paulo,45919049
PR,41,Paraná,11433957
SC,42,Santa Catarina,7164788
RS,43,Rio Grande do Sul,11377239
MS,50,Mato Grosso do Sul,2778986
MT,51,Mato Grosso,3484466
GO,52,Goiás,7018354
DF,53,Distrito Federal,3015268
